10-23 14:30:11: Training starting...
10-23 14:30:14: New best reward -5.7 (-100.0%) at episode 0, saving model...
10-23 14:30:14: New best reward -3.3 (-42.1%) at episode 11, saving model...
10-23 14:30:35: New best reward 0.3 (-109.1%) at episode 551, saving model...
10-23 14:31:28: New best reward 2.1 (+600.0%) at episode 1918, saving model...
10-23 14:31:36: New best reward 2.7 (+28.6%) at episode 2143, saving model...
10-23 14:32:01: New best reward 3.9 (+44.4%) at episode 2758, saving model...
10-23 14:36:57: New best reward 4.3 (+10.3%) at episode 9790, saving model...
10-23 14:37:19: New best reward 4.4 (+2.3%) at episode 10275, saving model...
10-23 14:38:34: New best reward 4.6 (+4.5%) at episode 11899, saving model...
10-23 14:39:08: New best reward 4.8 (+4.3%) at episode 12692, saving model...
10-23 14:40:08: New best reward 6.2 (+29.2%) at episode 13919, saving model...
10-23 14:42:10: New best reward 6.5 (+4.8%) at episode 16114, saving model...
10-23 14:42:35: New best reward 6.8 (+4.6%) at episode 16650, saving model...
10-23 14:42:45: New best reward 8.4 (+23.5%) at episode 16837, saving model...
10-23 14:47:57: New best reward 8.5 (+1.2%) at episode 22917, saving model...
10-23 14:57:45: New best reward 12.9 (+51.8%) at episode 34810, saving model...
10-23 15:09:10: New best reward 17.9 (+38.8%) at episode 46745, saving model...
10-23 15:12:24: New best reward 34.6 (+93.3%) at episode 49902, saving model...
10-23 15:31:01: New best reward 36.5 (+5.5%) at episode 66060, saving model...
10-23 15:35:12: New best reward 40.9 (+12.1%) at episode 69415, saving model...
10-23 15:44:23: New best reward 45.9 (+12.2%) at episode 77149, saving model...
10-23 15:54:14: New best reward 46.5 (+1.3%) at episode 84677, saving model...
10-23 15:58:10: New best reward 47.1 (+1.3%) at episode 87574, saving model...
10-23 16:04:45: New best reward 48.3 (+2.5%) at episode 93046, saving model...
10-23 16:27:14: New best reward 54.9 (+13.7%) at episode 112699, saving model...
10-23 16:28:15: New best reward 57.1 (+4.0%) at episode 113516, saving model...
10-23 16:31:15: New best reward 57.8 (+1.2%) at episode 115927, saving model...
10-23 16:54:06: New best reward 62.3 (+7.8%) at episode 135710, saving model...
10-23 16:55:28: New best reward 69.1 (+10.9%) at episode 138006, saving model...
10-23 16:57:51: New best reward 74.2 (+7.4%) at episode 142034, saving model...
10-23 17:10:13: New best reward 82.9 (+11.7%) at episode 161275, saving model...
10-23 17:48:09: New best reward 87.9 (+6.0%) at episode 215737, saving model...
10-23 17:55:19: New best reward 90.8 (+3.3%) at episode 224868, saving model...
10-23 18:11:41: New best reward 99.3 (+9.4%) at episode 244004, saving model...
10-23 22:22:25: New best reward 107.3 (+8.1%) at episode 416550, saving model...
10-23 23:44:09: New best reward 107.6 (+0.3%) at episode 482978, saving model...
