10-23 14:20:01: Training starting...
10-23 14:20:03: New best reward -6.9 (-100.0%) at episode 0, saving model...
10-23 14:20:03: New best reward -6.3 (-8.7%) at episode 2, saving model...
10-23 14:20:03: New best reward -5.7 (-9.5%) at episode 4, saving model...
10-23 14:20:03: New best reward -5.1 (-10.5%) at episode 31, saving model...
10-23 14:20:03: New best reward -3.3 (-35.3%) at episode 45, saving model...
10-23 14:20:04: New best reward -0.3 (-90.9%) at episode 159, saving model...
10-23 14:20:05: New best reward 0.9 (-400.0%) at episode 293, saving model...
10-23 14:20:20: New best reward 3.9 (+333.3%) at episode 2198, saving model...
10-23 14:20:59: New best reward 4.2 (+7.7%) at episode 6890, saving model...
10-23 14:21:05: New best reward 4.5 (+7.1%) at episode 7427, saving model...
10-23 14:21:45: New best reward 4.8 (+6.7%) at episode 11282, saving model...
10-23 14:22:21: New best reward 4.9 (+2.1%) at episode 14577, saving model...
10-23 14:22:27: New best reward 5.0 (+2.0%) at episode 15136, saving model...
10-23 14:22:35: New best reward 6.2 (+24.0%) at episode 15624, saving model...
10-23 14:22:39: New best reward 6.5 (+4.8%) at episode 15952, saving model...
10-23 14:23:47: New best reward 8.4 (+29.2%) at episode 20842, saving model...
10-23 14:24:14: New best reward 9.1 (+8.3%) at episode 22794, saving model...
10-23 14:24:49: New best reward 10.5 (+15.4%) at episode 25226, saving model...
10-23 14:30:49: New best reward 11.1 (+5.7%) at episode 44623, saving model...
10-23 14:32:02: New best reward 12.9 (+16.2%) at episode 46917, saving model...
10-23 14:43:18: New best reward 13.6 (+5.4%) at episode 65775, saving model...
10-23 14:47:44: New best reward 14.0 (+2.9%) at episode 72388, saving model...
10-23 14:47:54: New best reward 15.8 (+12.9%) at episode 72674, saving model...
10-23 14:48:57: New best reward 17.9 (+13.3%) at episode 74292, saving model...
10-23 14:49:43: New best reward 18.8 (+5.0%) at episode 75565, saving model...
10-23 14:52:53: New best reward 22.4 (+19.1%) at episode 80552, saving model...
10-23 14:53:41: New best reward 22.9 (+2.2%) at episode 81813, saving model...
10-23 14:56:48: New best reward 26.9 (+17.5%) at episode 86494, saving model...
10-23 14:59:24: New best reward 34.7 (+29.0%) at episode 90379, saving model...
10-23 15:01:09: New best reward 38.8 (+11.8%) at episode 92865, saving model...
10-23 15:24:23: New best reward 40.9 (+5.4%) at episode 122564, saving model...
10-23 15:30:57: New best reward 46.2 (+13.0%) at episode 129550, saving model...
10-23 15:46:00: New best reward 50.4 (+9.1%) at episode 144077, saving model...
10-23 15:59:47: New best reward 59.9 (+18.8%) at episode 154744, saving model...
10-23 16:03:48: New best reward 64.4 (+7.5%) at episode 157910, saving model...
10-23 17:09:26: New best reward 65.0 (+0.9%) at episode 228416, saving model...
10-23 17:16:46: New best reward 71.2 (+9.5%) at episode 239571, saving model...
10-23 19:00:56: New best reward 81.0 (+13.8%) at episode 351033, saving model...
10-23 21:32:43: New best reward 82.9 (+2.3%) at episode 421515, saving model...
