10-23 14:19:01: Training starting...
10-23 14:19:02: New best reward -8.1 (-100.0%) at episode 0, saving model...
10-23 14:19:02: New best reward -5.1 (-37.0%) at episode 5, saving model...
10-23 14:19:02: New best reward -3.9 (-23.5%) at episode 52, saving model...
10-23 14:19:02: New best reward 0.3 (-107.7%) at episode 74, saving model...
10-23 14:19:03: New best reward 2.1 (+600.0%) at episode 276, saving model...
10-23 14:19:22: New best reward 3.9 (+85.7%) at episode 3783, saving model...
10-23 14:19:53: New best reward 4.4 (+12.8%) at episode 8025, saving model...
10-23 14:19:54: New best reward 4.6 (+4.5%) at episode 8236, saving model...
10-23 14:20:23: New best reward 4.8 (+4.3%) at episode 11224, saving model...
10-23 14:20:42: New best reward 6.2 (+29.2%) at episode 13060, saving model...
10-23 14:21:05: New best reward 6.3 (+1.6%) at episode 15313, saving model...
10-23 14:21:23: New best reward 8.4 (+33.3%) at episode 16805, saving model...
10-23 14:22:14: New best reward 8.6 (+2.4%) at episode 21130, saving model...
10-23 14:22:15: New best reward 8.9 (+3.5%) at episode 21190, saving model...
10-23 14:23:57: New best reward 9.1 (+2.2%) at episode 27968, saving model...
