10-23 16:11:37: Training starting...
10-23 16:11:39: New best reward -6.3 (-100.0%) at episode 0, saving model...
10-23 16:11:39: New best reward -5.1 (-19.0%) at episode 17, saving model...
10-23 16:11:40: New best reward -4.5 (-11.8%) at episode 70, saving model...
10-23 16:11:40: New best reward -3.9 (-13.3%) at episode 97, saving model...
10-23 16:11:42: New best reward -2.1 (-46.2%) at episode 204, saving model...
10-23 16:11:54: New best reward -0.3 (-85.7%) at episode 690, saving model...
10-23 16:11:54: New best reward 3.9 (-1400.0%) at episode 700, saving model...
10-23 16:14:17: New best reward 4.2 (+7.7%) at episode 10220, saving model...
10-23 16:14:29: New best reward 4.4 (+4.8%) at episode 11087, saving model...
10-23 16:14:52: New best reward 6.0 (+36.4%) at episode 13066, saving model...
10-23 16:15:29: New best reward 6.2 (+3.3%) at episode 15828, saving model...
10-23 16:15:31: New best reward 6.5 (+4.8%) at episode 16036, saving model...
10-23 16:15:31: New best reward 6.8 (+4.6%) at episode 16039, saving model...
10-23 16:16:19: New best reward 8.4 (+23.5%) at episode 18869, saving model...
10-23 16:17:41: New best reward 8.5 (+1.2%) at episode 22454, saving model...
10-23 16:20:05: New best reward 9.2 (+8.2%) at episode 28149, saving model...
10-23 16:20:23: New best reward 9.4 (+2.2%) at episode 28792, saving model...
10-23 16:22:51: New best reward 12.9 (+37.2%) at episode 34312, saving model...
10-23 16:23:11: New best reward 15.3 (+18.6%) at episode 35051, saving model...
10-23 16:24:13: New best reward 17.9 (+17.0%) at episode 37267, saving model...
