10-23 14:28:06: Training starting...
10-23 14:28:08: New best reward -8.1 (-100.0%) at episode 0, saving model...
10-23 14:28:08: New best reward -7.5 (-7.4%) at episode 2, saving model...
10-23 14:28:08: New best reward -6.9 (-8.0%) at episode 3, saving model...
10-23 14:28:08: New best reward -5.1 (-26.1%) at episode 5, saving model...
10-23 14:28:10: New best reward -3.9 (-23.5%) at episode 72, saving model...
10-23 14:28:16: New best reward -0.9 (-76.9%) at episode 393, saving model...
10-23 14:29:02: New best reward -0.3 (-66.7%) at episode 1857, saving model...
10-23 14:29:35: New best reward 2.1 (-800.0%) at episode 2516, saving model...
10-23 14:29:53: New best reward 3.9 (+85.7%) at episode 2858, saving model...
10-23 14:36:55: New best reward 4.0 (+2.6%) at episode 8994, saving model...
10-23 14:37:05: New best reward 4.3 (+7.5%) at episode 9128, saving model...
10-23 14:40:30: New best reward 4.8 (+11.6%) at episode 11891, saving model...
10-23 14:41:32: New best reward 4.9 (+2.1%) at episode 12500, saving model...
10-23 14:43:00: New best reward 5.0 (+2.0%) at episode 13546, saving model...
10-23 14:44:38: New best reward 6.3 (+26.0%) at episode 14796, saving model...
10-23 14:47:02: New best reward 8.4 (+33.3%) at episode 16516, saving model...
10-23 14:53:57: New best reward 9.2 (+9.5%) at episode 22122, saving model...
