10-23 16:16:32: Training starting...
10-23 16:16:34: New best reward -8.7 (-100.0%) at episode 0, saving model...
10-23 16:16:34: New best reward -8.1 (-6.9%) at episode 1, saving model...
10-23 16:16:34: New best reward -6.3 (-22.2%) at episode 2, saving model...
10-23 16:16:35: New best reward -4.5 (-28.6%) at episode 26, saving model...
10-23 16:16:37: New best reward -3.3 (-26.7%) at episode 111, saving model...
10-23 16:16:38: New best reward -2.7 (-18.2%) at episode 124, saving model...
10-23 16:17:01: New best reward -2.1 (-22.2%) at episode 779, saving model...
10-23 16:17:52: New best reward -1.5 (-28.6%) at episode 2171, saving model...
10-23 16:19:10: New best reward -0.9 (-40.0%) at episode 4269, saving model...
10-23 16:20:04: New best reward 3.9 (-533.3%) at episode 5674, saving model...
10-23 16:27:09: New best reward 4.7 (+20.5%) at episode 16336, saving model...
10-23 16:29:01: New best reward 4.8 (+2.1%) at episode 19024, saving model...
10-23 16:29:46: New best reward 5.0 (+4.2%) at episode 20080, saving model...
10-23 16:29:50: New best reward 6.6 (+32.0%) at episode 20155, saving model...
10-23 16:30:22: New best reward 6.7 (+1.5%) at episode 20952, saving model...
10-23 16:30:26: New best reward 9.1 (+35.8%) at episode 21013, saving model...
10-23 16:33:36: New best reward 9.2 (+1.1%) at episode 25578, saving model...
10-23 16:34:25: New best reward 13.9 (+51.1%) at episode 26723, saving model...
