10-23 14:28:39: Training starting...
10-23 14:28:41: New best reward -7.5 (-100.0%) at episode 0, saving model...
10-23 14:28:41: New best reward -6.9 (-8.0%) at episode 1, saving model...
10-23 14:28:42: New best reward -6.3 (-8.7%) at episode 16, saving model...
10-23 14:28:43: New best reward -5.1 (-19.0%) at episode 21, saving model...
10-23 14:28:43: New best reward -4.5 (-11.8%) at episode 29, saving model...
10-23 14:28:45: New best reward -3.9 (-13.3%) at episode 71, saving model...
10-23 14:28:49: New best reward -2.7 (-30.8%) at episode 128, saving model...
10-23 14:29:40: New best reward 0.3 (-111.1%) at episode 994, saving model...
10-23 14:29:53: New best reward 2.7 (+800.0%) at episode 1205, saving model...
10-23 14:31:37: New best reward 3.9 (+44.4%) at episode 2866, saving model...
10-23 14:36:26: New best reward 4.0 (+2.6%) at episode 6868, saving model...
10-23 14:41:35: New best reward 4.5 (+12.5%) at episode 10525, saving model...
10-23 14:44:00: New best reward 8.4 (+86.7%) at episode 12233, saving model...
